Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,3,4,2,4
0,1,0,0,0,0,0,0,0,0,7,5,0,0,6,0,6,4,0,0,0,1,9,3,1,2,0,5,0,8,4,2,4
0,2,0,0,0,0,0,0,0,0,7,5,0,0,5,0,6,4,0,0,0,1,9,3,1,2,0,5,0,5,4,2,4
0,3,0,0,0,0,0,0,0,7,7,5,0,0,5,0,6,4,0,0,0,3,9,3,1,2,0,5,0,5,4,2,4
0,4,0,0,0,0,0,0,0,7,7,5,0,0,5,0,6,4,0,0,1,3,2,3,3,2,0,5,1,0,4,2,4
1,0,0,0,0,0,1,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0
1,1,0,2,0,0,1,0,0,2,0,5,0,4,0,0,0,1,2,0,6,0,0,3,1,0,3,0,0,0,1,2,9
1,2,6,2,0,0,0,0,0,2,4,5,0,4,8,0,0,1,2,0,6,0,0,3,1,0,3,0,0,5,1,2,9
1,3,6,2,0,0,0,0,0,2,4,2,0,0,8,0,0,1,2,0,5,0,0,3,1,0,0,0,0,5,1,2,9
1,4,6,2,0,0,0,0,0,2,4,8,4,0,8,0,0,1,2,0,5,0,0,3,1,0,3,5,0,5,1,2,9
